Team,3PT Rate
Atlanta Hawks,0.333
Boston Celtics,0.364
Brooklyn Nets,0.343
Chicago Bulls,0.348
Charlotte Hornets,0.352
Cleveland Cavaliers,0.351
Dallas Mavericks,0.367
Denver Nuggets,0.359
Detroit Pistons,0.367
Golden State Warriors,0.334
Houston Rockets,0.345
Indiana Pacers,0.363
Los Angeles Clippers,0.371
Los Angeles Lakers,0.349
Memphis Grizzlies,0.347
Miami Heat,0.379
Milwaukee Bucks,0.355
Minnesota Timberwolves,0.336
New Orleans Pelicans,0.37
New York Knicks,0.337
Oklahoma City Thunder,0.355
Orlando Magic,0.343
Philadelphia 76ers,0.368
Phoenix Suns,0.358
Portland Trail Blazers,0.377
Sacramento Kings,0.364
San Antonio Spurs,0.376
Toronto Raptors,0.374
Utah Jazz,0.38
Washington Wizards,0.368
League Average,0.358
